,ic_id,ic_step,ic_maker,ic_category,ic_type1,ic_type2,ic_data,ic_time
175,27688,step4,lg,LG Q92,미러 레드,all,11,20210405114318
176,25845,step4,samsung,Galaxy S20 Plus,아우라 블루,all,7,20210405114318
177,20017,step2,samsung,Galaxy Z Flip,Galaxy Z Flip,,319,20210405114318
178,28572,step3,samsung,Galaxy A3 2016,16,,1,20210405114318
179,27630,step4,apple,iphone12 Pro,퍼시픽블루,512,14,20210405114318
180,28328,step4,lg,VELVET,오로라 그린,128,2,20210405114318
181,26979,step2,samsung,GalaxyNote4 S-LTE,GalaxyNote4 S-LTE,,4,20210405114318
182,27629,step4,apple,iphone12 Pro,골드,512,3,20210405114318
183,27628,step4,apple,iphone12 Pro,그래파이트,512,9,20210405114318
184,26782,step4,samsung,Galaxy A8 2018,블루,all,15,20210405114318
185,26437,step4,samsung,GalaxyNote5,블랙,all,10,20210405114318
186,26438,step2,samsung,GalaxyNote3,GalaxyNote3,,30,20210405114318
187,26439,step2,samsung,GalaxyNote,GalaxyNote,,15,20210405114318
188,27457,step4,lg,Wine Smart,블랙,all,9,20210405114318
189,26445,step2,samsung,Galaxy J7,Galaxy J7,,25,20210405114318
190,23173,step2,samsung,Galaxy A Quantum,Galaxy A Quantum,,107,20210405114318
191,25112,step3,samsung,GalaxyS6 Edge Plus,32,,7,20210405114318
192,22350,step3,samsung,Galaxy A9 2018,128,,15,20210405114318
193,28505,step2,lg,G Stylo,G Stylo,,2,20210405114318
194,20026,step2_group,lg,lg,lg,,47,20210405114318
195,28285,step4,lg,Q51,문라이트 티탄,all,2,20210405114318
196,27569,step2,lg,Wine Smart 3G,Wine Smart 3G,,7,20210405114318
197,28613,step4,lg,G7 ThinQ,뉴 모로칸 블루,all,2,20210405114318
198,14046,step2,lg,V20,V20,,33,20210405114318
199,28611,step3,samsung,GalaxyAlpha,32,,1,20210405114318
200,28612,step4,lg,G7 ThinQ,뉴 모로칸 블루,64,1,20210405114318
201,28610,step4,apple,iphone5,블랙,16,2,20210405114318
202,27649,step4,apple,iphone12 Pro Max,그래파이트,all,63,20210405114318
203,25741,step4,apple,iphoneSE,스페이스 그레이,128,2,20210405114318
204,14035,step2,lg,V30,V30,,113,20210405114318
205,14036,step3,lg,V30,64,,55,20210405114318
206,20025,step1,lg,lg,lg,,2517,20210405114318
207,27697,step3,samsung,GalaxyWide,16,,8,20210405114318
208,27696,step4,apple,iphone12 Pro Max,골드,128,19,20210405114318
209,25925,step4,samsung,Galaxy S20 Plus,클라우드 화이트,all,5,20210405114318
210,28418,step3,lg,X2 2019,32,,2,20210405114318
211,25609,step2,lg,G5,G5,,14,20210405114318
212,27687,step4,lg,LG Q92,미러 티탄,all,9,20210405114318
213,20018,step3,samsung,Galaxy Z Flip,256,,187,20210405114318
214,27493,step3,lg,K10,16,,2,20210405114318
215,20012,step3,samsung,Galaxy Fold,512,,55,20210405114318
216,20011,step2,samsung,Galaxy Fold,Galaxy Fold,,122,20210405114318
217,28471,step4,samsung,GalaxyS,블랙,all,1,20210405114318
218,27454,step4,lg,X5 2018,모로칸 블루,all,1,20210405114318
219,19985,step2,samsung,Galaxy A8,Galaxy A8,,45,20210405114318
220,19986,step3,samsung,Galaxy A8,32,,20,20210405114318
221,28042,step4,apple,iphone8 Plus,RED,256,6,20210405114318
222,23172,step3,samsung,Galaxy A51,128,,98,20210405114318
223,28248,step4,samsung,GalaxyFolder2,레드,32,1,20210405114318
224,28545,step4,lg,X300,실버,16,1,20210405114318
225,28570,step4,samsung,GalaxyS2,블랙,32,1,20210405114318
226,28571,step4,samsung,GalaxyS2,블랙,all,2,20210405114318
227,19993,step2,samsung,Galaxy A7,Galaxy A7,,46,20210405114318
228,27568,step2,lg,X500,X500,,12,20210405114318
229,28082,step4,samsung,Galaxy S21,팬텀 화이트,all,13,20210405114318
230,19997,step2,samsung,Galaxy A80,Galaxy A80,,38,20210405114318
231,27626,step4,apple,iphone12 Pro,퍼시픽블루,256,49,20210405114318
232,27627,step3,apple,iphone12 Pro,512,,43,20210405114318
233,28513,step4,samsung,GalaxyNote9,라벤더 퍼플,512,1,20210405114318
234,20001,step2_group,samsung,samsung_folder,samsung_folder,,137,20210405114318
235,20002,step2,samsung,GalaxyFolder2,GalaxyFolder2,,137,20210405114318
236,28325,step3,samsung,GalaxyNote5,128,,2,20210405114318
237,20006,step3,samsung,GalaxyFolder2,32,,31,20210405114318
238,26753,step4,apple,iphone5s,골드,32,2,20210405114318
239,20008,step4,samsung,GalaxyFolder2,블랙,all,37,20210405114318
240,28569,step4,samsung,GalaxyS3 3G,페블 블루,32,1,20210405114318
241,28609,step4,apple,iphone6 Plus,골드,16,1,20210405114318
242,27532,step4,samsung,Galaxy A6 2018,블랙,32,2,20210405114318
243,20010,step2_group,samsung,folderble,folderble,,627,20210405114318
244,11071,step2_group,lg,x_series,x_series,,160,20210405114318
245,28280,step2,lg,G Flex,G Flex,,2,20210405114318
246,26781,step4,samsung,Galaxy A8 2018,블루,32,14,20210405114318
247,26752,step4,apple,iphone6 Plus,골드,all,7,20210405114318
