,psc_id,pl_ori_color,pl_color_name,pl_search_name
112,114,0,클라우드 실버,클라우드 실버|클라우드실버
113,115,0,클래식 화이트,클래식 화이트|클래식화이트|클레식 화이트|클레식화이트
114,116,0,테라 골드,테라 골드|테라골드|태라 골드|태라골드
115,117,0,티타늄 그레이,티타늄 그레이|티타늄그레이|티타늄 그래이|티타늄그래이
116,118,1,티탄,티탄
117,119,0,티탄 블랙,티탄 블랙|티탄블랙|티탄 블렉|티탄블렉
118,120,0,티탄 실버,티탄 실버|티탄실버
119,121,1,퍼플,퍼플
120,122,0,펄 화이트,펄 화이트|펄화이트
121,123,0,페블 블루,페블 블루|페블블루|패블 블루|패블블루
122,124,0,페스티벌 오렌지,페스티벌 오렌지|페스티벌오렌지|패스티벌 오렌지|패스티벌오렌지
123,125,0,폴라리스 블루,폴라리스 블루|폴라리스블루
124,126,0,프로스트 화이트,프로스트 화이트|프로스트화이트
125,127,0,프로스티드 골드,프로스티드 골드|프로스티드골드
126,128,0,프리즘 그린,프리즘 그린|프리즘그린
127,129,0,프리즘 블랙,프리즘 블랙|프리즘블랙|프리즘 블렉|프리즘블렉
128,130,0,프리즘 화이트,프리즘 화이트|프리즘화이트
129,131,0,플라멩코 레드,플라멩코 레드|플라멩코레드|플라맹코 레드|플라맹코레드|플라멩코 레드|플라멩코레드
130,132,0,플라밍고 핑크,플라밍고 핑크|플라밍고핑크
131,133,0,플래티넘 실버,플래티넘 실버|플래티넘실버|플레티넘 실버|플레티넘실버
132,134,0,피치 클라우드,피치 클라우드|피치클라우드
133,135,1,핑크,핑크|분홍
134,136,0,핑크 골드,핑크 골드|핑크골드
135,137,1,화이트,화이트|하얀|흰색
136,138,0,화이트 펄,화이트 펄|화이트펄
137,139,0,화이트 프로스트,화이트 프로스트|화이트프로스트
138,140,1,코럴,코랄|코럴|산호색
139,141,0,코럴 블루,코럴 블루|코럴블루|코랄 블루|코랄블루
140,142,0,코스모스 블랙,코스모스 블랙|코스모스블랙|코스모블랙|코스모 블랙|코스모스 블렉|코스모스블렉|코스모블렉|코스모 블렉
141,143,0,스페이스 실버,스페이스 실버|스페이스실버
142,144,0,엔젤 골드,엔젤 골드|엔젤골드
143,145,0,팬텀 블랙,팬텀블랙|팬텀 블랙|팬텀블렉|팬텀 블렉
144,146,0,고스트 화이트,고스트화이트|고스트 화이트
145,147,0,미러 블랙,미러블랙|미러 블랙|미러블렉|미러 블렉
