,code,storage,retail_price
"
97,SHV-E250,16,SKT:847000|KT:847000|LG:847000
98,SHV-E250,32,SKT:847000|KT:847000|LG:847000
99,SHV-E250,64,SKT:913000|KT:913000|LG:847000
100,SM-N981,256,"SKT:1199000|KT:1199000|LG:1199000
"
101,SM-N986,256,"SKT:1452000|KT:1452000|LG:1452000
"
102,SM-N900,32,SKT:880000|KT:0|LG:0
103,SM-N750,16,SKT:599500|KT:599500|LG:599500
104,SM-N910,32,SKT:799700|KT:316800|LG:799700
105,SM-N915,32,SKT:699600|KT:699600|LG:699600
106,SM-N915,64,SKT:0|KT:0|LG:699600
107,SM-N916,32,SKT:799700|KT:0|LG:0
108,SM-N920,32,SKT:799700|KT:499400|LG:799700
109,SM-N920,64,SKT:699600|KT:821700|LG:821700
110,SM-N920,128,SKT:865700|KT:865700|LG:0
111,SM-N930,64,SKT:0|KT:0|LG:0
112,SM-N950,64,SKT:847000|KT:847000|LG:847000
113,SM-N950,256,SKT:942700|KT:942700|LG:942700
114,SM-N960,128,"SKT:799700|KT:799700|LG:799700
"
115,SM-N960,512,"SKT:1155000|KT:1155000|LG:1155000
"
116,SM-N935,64,SKT:699600|KT:699600|LG:699600
117,SHV-E220,8,SKT:319000|KT:0|LG:0
118,SHV-E220,16,SKT:319000|KT:0|LG:0
119,SHV-E170,16,SKT:0|KT:0|LG:0
120,SM-G910,32,SKT:759000|KT:0|LG:0
121,SHW-M110,16,SKT:0|KT:0|LG:0
122,SHW-M190,16,SKT:0|KT:0|LG:0
123,SM-G973,128,"SKT:899800|KT:899800|LG:899800
"
124,SM-G973,512,"SKT:998800|KT:998800|LG:998800
"
125,SM-G977,256,"SKT:799700|KT:799700|LG:799700
"
126,SM-G977,512,"SKT:832700|KT:832700|LG:832700
"
127,SM-G975,128,"SKT:1155000|KT:998800|LG:1155000
"
128,SM-G975,512,"SKT:1196800|KT:1045000|LG:1397000
"
129,SM-G975,1T,SKT:0|KT:0|LG:0
130,SM-G970,128,"SKT:899800|KT:899800|LG:899800
"
131,SHW-M250,8,SKT:0|KT:0|LG:0
132,SHW-M250,16,SKT:0|KT:0|LG:0
133,SHW-M250,32,SKT:0|KT:0|LG:0
134,SHV-E120,16,SKT:0|KT:0|LG:0
135,SHV-E110,16,SKT:0|KT:0|LG:0
136,SHV-M440,16,SKT:0|KT:0|LG:0
137,SHV-M440,32,SKT:0|KT:0|LG:0
138,SHV-E210,16,SKT:0|KT:699600|LG:0
139,SHV-E210,32,SKT:0|KT:732600|LG:0
140,SHV-E300,16,SKT:550000|KT:550000|LG:550000
141,SHV-E300,32,SKT:550000|KT:550000|LG:550000
142,SHV-E470,32,SKT:528000|KT:0|LG:0
143,SHV-E330,16,SKT:499400|KT:499400|LG:499400
144,SHV-E330,32,SKT:499400|KT:605000|LG:605000
145,SHV-E370,8,SKT:0|KT:259600|LG:0
146,SHV-E370,16,SKT:0|KT:259600|LG:0
147,SHV-E370,32,SKT:0|KT:259600|LG:0
148,SM-C105,8,SKT:0|KT:308000|LG:308000
149,SM-C105,16,SKT:0|KT:308000|LG:308000
150,SM-G900,32,SKT:666600|KT:264000|LG:666600
151,SM-G906,32,SKT:699600|KT:264000|LG:699600
152,SM-G920,32,SKT:679800|KT:679800|LG:679800
153,SM-G920,64,SKT:699600|KT:699600|LG:699600
154,SM-G925,32,SKT:735900|KT:735900LG:735900
155,SM-G925,64,SKT:755700|KT:755700|LG:755700
156,SM-G925,128,SKT:799700|KT:799700|LG:799700
157,SM-G928,32,SKT:599500|KT:599500|LG:599500
158,SM-G928,64,SKT:0|KT:0|LG:0
159,SM-G930,32,SKT:699600|KT:495000|LG:699600
160,SM-G930,64,SKT:721600|KT:721600|LG:721600
161,SM-G935,32,SKT:755700|KT:855800|LG:755700
162,SM-G935,64,SKT:777700|KT:755700|LG:777700
163,SM-G935,128,SKT:799700|KT:799700|LG:799700
164,SM-G950,64,"SKT:599500|KT:599500|LG:599500
"
165,SM-G955,64,"SKT:899800|KT:899800|LG:899800
"
166,SM-G955,128,"SKT:998800|KT:899800|LG:899800
"
167,SM-G960,64,"SKT:858000|KT:858000|LG:858000
"
168,SM-G965,64,"SKT:968000|KT:968000|LG:968000
"
169,SM-G965,256,"SKT:1078000|KT:1078000|LG:1078000
