,ppl_id,ppl_maker,ppl_group,ppl_model_code,ppl_name,ppl_model_name,ppl_storage,ppl_class,ppl_hidden,ppl_average,ppl_average_date,ppl_average_old,ppl_average_old_date
38,39,apple,apple,A2097,아이폰Xs,iphoneXs,64,B,2,497161,2021-05-11 17:42:10,478146,2021-05-11 06:37:12
39,40,apple,apple,A2097,아이폰Xs,iphoneXs,64,N,2,316225,2021-05-10 16:12:03,316150,2021-05-10 12:39:48
40,41,apple,apple,A2097,아이폰Xs,iphoneXs,256,S,0,659340,2021-05-11 17:42:10,659340,2021-05-11 06:37:12
41,42,apple,apple,A2097,아이폰Xs,iphoneXs,256,A,0,586861,2021-05-11 17:42:10,623745,2021-05-11 06:37:12
42,43,apple,apple,A2097,아이폰Xs,iphoneXs,256,B,2,513288,2021-05-11 17:42:10,471568,2021-05-11 06:37:12
43,44,apple,apple,A2097,아이폰Xs,iphoneXs,256,N,2,373381,2021-05-10 16:12:03,370760,2021-05-10 12:39:49
44,45,apple,apple,A2097,아이폰Xs,iphoneXs,512,S,1,0,2021-05-10 16:12:04,0,2021-05-10 12:39:49
45,46,apple,apple,A2097,아이폰Xs,iphoneXs,512,A,0,433333,2021-05-10 16:12:04,433333,2021-05-10 12:39:49
46,47,apple,apple,A2097,아이폰Xs,iphoneXs,512,B,2,313000,2021-05-10 16:12:04,313000,2021-05-10 12:39:49
47,48,apple,apple,A2097,아이폰Xs,iphoneXs,512,N,2,493030,2021-05-10 16:12:04,494062,2021-05-10 12:39:50
48,49,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,S,0,708900,2021-05-11 17:42:10,708900,2021-05-11 06:37:12
49,50,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,A,0,683900,2021-05-11 17:42:10,683900,2021-05-11 06:37:12
50,51,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,B,2,595280,2021-05-11 17:42:10,505600,2021-05-11 06:37:12
51,52,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,N,2,451806,2021-05-10 16:12:05,456518,2021-05-10 12:39:50
52,53,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,S,0,754333,2021-05-11 17:42:10,754333,2021-05-11 06:37:12
53,54,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,A,0,758900,2021-05-11 17:42:10,758900,2021-05-11 06:37:12
54,55,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,B,2,652546,2021-05-11 17:42:10,639431,2021-05-11 06:37:12
55,56,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,N,2,547224,2021-05-10 16:12:05,552767,2021-05-10 12:39:51
56,57,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,512,S,0,550000,2021-05-10 16:12:05,550000,2021-05-10 12:39:51
57,58,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,512,A,1,0,2021-05-10 16:12:05,0,2021-05-10 12:39:51
58,59,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,512,B,2,724500,2021-05-11 17:42:10,724500,2021-05-11 06:37:12
59,60,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,512,N,2,740000,2021-05-10 16:12:06,725882,2021-05-10 12:39:51
60,61,apple,apple,A2105,아이폰Xr,iphoneXr,64,S,0,538750,2021-05-11 17:42:10,512631,2021-05-11 06:37:12
61,62,apple,apple,A2105,아이폰Xr,iphoneXr,64,A,0,489705,2021-05-11 17:42:10,478888,2021-05-11 06:37:12
62,63,apple,apple,A2105,아이폰Xr,iphoneXr,64,B,2,444280,2021-05-11 17:42:10,463548,2021-05-11 06:37:12
63,64,apple,apple,A2105,아이폰Xr,iphoneXr,64,N,2,307171,2021-05-10 16:12:06,305813,2021-05-10 12:39:52
64,65,apple,apple,A2105,아이폰Xr,iphoneXr,128,S,0,599375,2021-05-11 17:42:10,575000,2021-05-11 06:37:12
65,66,apple,apple,A2105,아이폰Xr,iphoneXr,128,A,0,570937,2021-05-11 17:42:10,516975,2021-05-11 06:37:12
66,67,apple,apple,A2105,아이폰Xr,iphoneXr,128,B,2,517045,2021-05-11 17:42:10,482741,2021-05-11 06:37:12
67,68,apple,apple,A2105,아이폰Xr,iphoneXr,128,N,2,368089,2021-05-10 16:12:07,364294,2021-05-10 12:39:52
68,69,apple,apple,A2105,아이폰Xr,iphoneXr,256,S,1,0,2021-05-10 16:12:07,0,2021-05-10 12:39:52
69,70,apple,apple,A2105,아이폰Xr,iphoneXr,256,A,0,497571,2021-05-11 17:42:10,497571,2021-05-10 12:22:54
70,71,apple,apple,A2105,아이폰Xr,iphoneXr,256,B,2,349000,2021-05-10 16:12:08,349000,2021-05-10 12:39:53
71,72,apple,apple,A2105,아이폰Xr,iphoneXr,256,N,2,202500,2021-05-10 16:12:08,202500,2021-05-10 12:39:53
72,73,apple,apple,A1901,아이폰X,iphoneX,64,S,0,540000,2021-05-11 17:42:10,540000,2021-05-11 06:37:12
73,74,apple,apple,A1901,아이폰X,iphoneX,64,A,0,423333,2021-05-11 17:42:10,392400,2021-05-11 06:37:12
74,75,apple,apple,A1901,아이폰X,iphoneX,64,B,0,402500,2021-05-11 17:42:10,380000,2021-05-11 06:37:12
75,76,apple,apple,A1901,아이폰X,iphoneX,64,N,2,281487,2021-05-10 16:12:08,279275,2021-05-10 12:39:53
76,77,apple,apple,A1901,아이폰X,iphoneX,256,S,0,620000,2021-05-11 17:42:10,620000,2021-05-11 06:37:12
77,78,apple,apple,A1901,아이폰X,iphoneX,256,A,0,466166,2021-05-11 17:42:10,464545,2021-05-11 06:37:12
78,79,apple,apple,A1901,아이폰X,iphoneX,256,B,0,516250,2021-05-11 17:42:10,501578,2021-05-11 06:37:12
79,80,apple,apple,A1901,아이폰X,iphoneX,256,N,2,308675,2021-05-10 16:12:09,308071,2021-05-10 12:39:54
80,81,apple,apple,A1905,아이폰8,iphone8,64,S,0,292000,2021-05-11 17:42:10,292000,2021-05-11 06:37:12
81,82,apple,apple,A1905,아이폰8,iphone8,64,A,0,240923,2021-05-11 17:42:10,220432,2021-05-11 06:37:12
82,83,apple,apple,A1905,아이폰8,iphone8,64,B,0,258125,2021-05-11 17:42:10,249285,2021-05-11 06:37:12
83,84,apple,apple,A1905,아이폰8,iphone8,64,N,2,160916,2021-05-10 16:12:09,160808,2021-05-10 12:39:55
84,85,apple,apple,A1905,아이폰8,iphone8,128,S,1,0,2021-05-10 16:12:10,0,2021-05-10 12:39:55
85,86,apple,apple,A1905,아이폰8,iphone8,128,A,1,0,2021-05-10 16:12:10,0,2021-05-10 12:39:55
86,87,apple,apple,A1905,아이폰8,iphone8,128,B,1,0,2021-05-10 16:12:10,0,2021-05-10 12:39:55
87,88,apple,apple,A1905,아이폰8,iphone8,128,N,2,210000,2021-05-10 16:12:10,0,2021-05-10 12:39:55
88,89,apple,apple,A1905,아이폰8,iphone8,256,S,0,341944,2021-05-11 17:42:10,336750,2021-05-11 06:37:12
89,90,apple,apple,A1905,아이폰8,iphone8,256,A,0,317500,2021-05-11 17:42:10,317500,2021-05-11 06:37:12
90,91,apple,apple,A1905,아이폰8,iphone8,256,B,0,296076,2021-05-11 17:42:10,287437,2021-05-11 06:37:12
91,92,apple,apple,A1905,아이폰8,iphone8,256,N,2,202392,2021-05-10 16:12:11,203755,2021-05-10 12:39:56
92,93,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,64,S,0,396166,2021-05-11 17:42:10,396166,2021-05-11 06:37:12
93,94,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,64,A,0,388062,2021-05-11 17:42:10,371000,2021-05-11 06:37:12
94,95,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,64,B,0,366800,2021-05-11 17:42:10,367866,2021-05-11 06:37:12
95,96,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,64,N,2,270250,2021-05-10 16:12:11,271500,2021-05-10 12:39:56
96,97,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,128,S,1,0,2021-05-10 16:12:11,0,2021-05-10 12:39:56
97,98,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,128,A,1,0,2021-05-10 16:12:12,0,2021-05-10 12:39:57
98,99,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,128,B,1,0,2021-05-10 16:12:12,0,2021-05-10 12:39:57
99,100,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,128,N,2,0,2021-05-10 16:12:12,0,2021-05-10 12:39:57
100,101,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,256,S,0,486600,2021-05-11 17:42:10,486600,2021-05-11 06:37:12
101,102,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,256,A,0,454266,2021-05-11 17:42:10,454266,2021-05-11 06:37:12
102,103,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,256,B,0,417875,2021-05-11 17:42:10,416636,2021-05-11 06:37:12
103,104,apple,apple,A1897,아이폰8 Plus,iphone8 Plus,256,N,2,299523,2021-05-10 16:12:12,302105,2021-05-10 12:39:57
104,105,apple,apple,A1778,아이폰7,iphone7,32,S,0,188933,2021-05-11 17:42:10,186500,2021-05-11 06:37:12
105,106,apple,apple,A1778,아이폰7,iphone7,32,A,0,170875,2021-05-11 17:42:10,165777,2021-05-11 06:37:12
106,107,apple,apple,A1778,아이폰7,iphone7,32,B,0,166148,2021-05-11 17:42:10,159852,2021-05-11 06:37:12
107,108,apple,apple,A1778,아이폰7,iphone7,32,N,2,121805,2021-05-10 16:12:13,122787,2021-05-10 12:39:58
108,109,apple,apple,A1778,아이폰7,iphone7,128,S,0,197894,2021-05-11 17:42:10,192120,2021-05-11 06:37:12
109,110,apple,apple,A1778,아이폰7,iphone7,128,A,0,199263,2021-05-11 17:42:10,196800,2021-05-11 06:37:12
110,111,apple,apple,A1778,아이폰7,iphone7,128,B,0,188923,2021-05-11 17:42:10,181754,2021-05-11 06:37:12
111,112,apple,apple,A1778,아이폰7,iphone7,128,N,2,148270,2021-05-10 16:12:14,147491,2021-05-10 12:39:59
112,113,apple,apple,A1778,아이폰7,iphone7,256,S,1,0,2021-05-10 16:12:14,0,2021-05-10 12:39:59
113,114,apple,apple,A1778,아이폰7,iphone7,256,A,0,202000,2021-05-10 16:12:14,164000,2021-05-10 12:39:59
114,115,apple,apple,A1778,아이폰7,iphone7,256,B,1,220000,2021-05-11 17:42:10,220000,2021-05-11 06:37:12
115,116,apple,apple,A1778,아이폰7,iphone7,256,N,2,185000,2021-05-10 16:12:14,182500,2021-05-10 12:39:59
116,117,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,32,S,0,330000,2021-05-11 17:42:10,330000,2021-05-11 06:37:12
117,118,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,32,A,0,296363,2021-05-11 17:42:10,277857,2021-05-11 06:37:12
118,119,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,32,B,0,249846,2021-05-11 17:42:10,249846,2021-05-11 06:37:12
119,120,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,32,N,2,164285,2021-05-10 16:12:15,165000,2021-05-10 12:40:00
120,121,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,128,S,0,375000,2021-05-11 17:42:10,375000,2021-05-11 06:37:12
121,122,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,128,A,0,355000,2021-05-11 17:42:10,355000,2021-05-11 06:37:12
122,123,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,128,B,0,286285,2021-05-11 17:42:10,290533,2021-05-11 06:37:12
123,124,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,128,N,2,214500,2021-05-10 16:12:15,222962,2021-05-10 12:40:00
124,125,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,256,S,0,270000,2021-05-10 16:12:16,270000,2021-05-10 12:40:01
125,126,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,256,A,0,250000,2021-05-10 16:12:16,250000,2021-05-10 12:40:01
126,127,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,256,B,0,305000,2021-05-10 16:12:16,305000,2021-05-10 12:40:01
127,128,apple,apple,A1784,아이폰7 Plus,iphone7 Plus,256,N,2,217428,2021-05-10 16:12:16,217428,2021-05-10 12:40:01
128,129,apple,apple,A1723,아이폰SE,iphoneSE,16,S,0,250000,2021-05-11 17:42:10,250000,2021-05-11 06:37:12
129,130,apple,apple,A1723,아이폰SE,iphoneSE,16,A,1,220000,2021-05-11 17:42:10,220000,2021-05-11 06:37:12
130,131,apple,apple,A1723,아이폰SE,iphoneSE,16,B,1,190000,2021-05-11 17:42:10,190000,2021-05-11 06:37:12
131,132,apple,apple,A1723,아이폰SE,iphoneSE,16,N,2,95000,2021-05-10 16:12:17,99285,2021-05-10 12:40:02
132,133,apple,apple,A1723,아이폰SE,iphoneSE,32,S,2,250000,2021-05-11 17:42:10,250000,2021-05-11 06:37:12
133,134,apple,apple,A1723,아이폰SE,iphoneSE,32,A,2,180000,2021-05-11 17:42:10,180000,2021-05-11 06:37:12
134,135,apple,apple,A1723,아이폰SE,iphoneSE,32,B,1,130000,2021-05-11 17:42:10,130000,2021-05-11 06:37:12
135,136,apple,apple,A1723,아이폰SE,iphoneSE,32,N,2,97818,2021-05-10 16:12:17,106400,2021-05-10 12:40:02
136,137,apple,apple,A1723,아이폰SE,iphoneSE,64,S,0,265416,2021-05-11 17:42:10,258846,2021-05-11 06:37:12
